skillid,skillname,category,reviewer,star,title,date,content
B0776R19RB,Wine Guru,Food & Drink,Krupa,5.0 out of 5 stars,Very helpful,"Reviewed in the United States on January 28, 2018",It walks you through and recommends a good wine
B01N6BBDLI,Cheers Me,Food & Drink,A. Picker,5.0 out of 5 stars,So cute and fun! It's perfectly timed for the holiday season but ...,"Reviewed in the United States on December 6, 2016",So cute and fun! It's perfectly timed for the holiday season but I can see so many instances to use this throughout the year. Parties are at my place!
B01N6BBDLI,Cheers Me,Food & Drink,Cara Lemieux,5.0 out of 5 stars,Now I Won't Be Struggling to Think of a Toast!,"Reviewed in the United States on December 7, 2016",I love this skill! Always struggling to think of a good toast when I am hosting a gathering.
B01N6BBDLI,Cheers Me,Food & Drink,James Eveland,5.0 out of 5 stars,Tooo Funny,"Reviewed in the United States on January 14, 2017",This is Awesome!
B01N6BBDLI,Cheers Me,Food & Drink,NamHo,5.0 out of 5 stars,Five Stars,"Reviewed in the United States on December 7, 2016",G-R-E-A-T app. Neat trick to show off at dinner parties!
B01N6BBDLI,Cheers Me,Food & Drink,Jeffrey N Walpole,5.0 out of 5 stars,Fun for dinner parties,"Reviewed in the United States on December 30, 2016",Fun for dinner parties. Amazed my guests!
B01N6BBDLI,Cheers Me,Food & Drink,caitlin,5.0 out of 5 stars,Five Stars,"Reviewed in the United States on December 7, 2016",Great app! Tons of good toasts and a great interface. Fun!
B01N6BBDLI,Cheers Me,Food & Drink,Vantage,3.0 out of 5 stars,Three Stars,"Reviewed in the United States on February 4, 2017",Doesn't have toast to a wife or girlfriend??
B01N6BBDLI,Cheers Me,Food & Drink,Amazon Customer,2.0 out of 5 stars,What are the different langu,"Reviewed in the United States on February 10, 2017",What are the 15 lang
B01N6BBDLI,Cheers Me,Food & Drink,S Febbraro,5.0 out of 5 stars,Five Stars,"Reviewed in the United States on December 8, 2016","I can never remember a toast when it counts, this takes the pressure off when friends and family visit!"
B082347T3L,Find My Coffee—Starbucks® At Home,Food & Drink,Jonathan Salm,5.0 out of 5 stars,Love it!,"Reviewed in the United States on December 13, 2019",Such a cool skill!
B01IP630FM,Tea Helper,Food & Drink,Marlea,3.0 out of 5 stars,"It's okay, needs to have more teas on list","Reviewed in the United States on October 26, 2016","It's cool. I'm a big tea drinker, but unfortunately the teas that I drink aren't recognized in this app. It's a very short list of teas, so it need to be improved to recognize ones like Chai Tea and Peppermint and such. I've got it enabled though cause you never know, it's a skill that can come in handy I suppose."
B01IP630FM,Tea Helper,Food & Drink,Juno,1.0 out of 5 stars,Limited selection of teas,"Reviewed in the United States on February 26, 2017",Not very helpful.
